  UID   PID  PPID   C STIME   TTY           TIME CMD
  501   971     1   0  9:13PM ??         0:07.76 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistant_service
  501  1003     1   0  9:13PM ??         2:18.81 /Library/Apple/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  501  1021     1   0  9:13PM ??         0:00.02 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
    0  1026     1   0  9:13PM ??         0:18.46 /System/Library/PrivateFrameworks/StorageKit.framework/Resources/storagekitd
  501  1033     1   0  9:13PM ??         0:00.10 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storedownloadd
  269  1040     1   0  9:13PM ??         0:00.12 /usr/sbin/distnoted agent
  501  1043     1   0  9:13PM ??         0:00.15 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/storeaccountd
  501  1044     1   0  9:13PM ??         2:34.65 /Library/Apple/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  501  1052     1   0  9:15PM ??         0:00.44 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/SpeechSynthesis.framework/Resources/com.apple.speech.speechsynthesisd
  265  1065     1   0  9:16PM ??         0:00.41 /System/Library/PrivateFrameworks/CoreLSKD.framework/Versions/A/lskdd
  501  1090     1   0 11:17PM ??         0:00.07 /usr/libexec/USBAgent
  222  1212     1   0 11:51AM ??         0:01.03 /usr/sbin/netbiosd
  501  1278     1   0 12:03PM ??         2:32.21 /Library/Apple/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  501  1286     1   0 12:10PM ??         0:00.09 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
  501  1291     1   0 12:10PM ??         2:31.74 /Applications/Microsoft Word.app/Contents/MacOS/Microsoft Word
  501  1306     1   0 12:11PM ??         0:23.78 /System/Library/Frameworks/AppKit.framework/Versions/C/XPCServices/com.apple.appkit.xpc.openAndSavePanelService.xpc/Contents/MacOS/com.apple.appkit.xpc.openAndSavePanelService
  501  1307     1   0 12:11PM ??         0:00.95 /System/Library/Frameworks/Quartz.framework/Versions/A/Frameworks/QuickLookUI.framework/Versions/A/XPCServices/QuickLookUIService.xpc/Contents/MacOS/QuickLookUIService
  501  1308     1   0 12:11PM ??         0:00.80 /Applications/UnzipOne.app/Contents/PlugIns/FinderExtension.appex/Contents/MacOS/FinderExtension
  501  1309     1   0 12:11PM ??         0:00.83 /Applications/UnzipOne.app/Contents/PlugIns/FinderExtension.appex/Contents/MacOS/FinderExtension
  501  1320     1   0 12:12PM ??         0:01.45 /System/Library/PrivateFrameworks/RemoteViewServices.framework/XPCServices/com.apple.security.pboxd.xpc/Contents/MacOS/com.apple.security.pboxd
  501  1333     1   0 12:13PM ??         0:08.78 /System/Library/Input Methods/SCIM.app/Contents/PlugIns/SCIM_Extension.appex/Contents/MacOS/SCIM_Extension
  501  1335     1   0 12:13PM ??         0:01.75 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
  501  1338     1   0 12:13PM ??         0:00.73 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
